user_id,content_id,genre,device,country,watch_start,watch_duration_min
user_71,movie_23,Action,TV,India,2025-06-28 15:35:07,101
user_109,movie_81,Romance,Tablet,Australia,2025-06-25 21:50:07,52
user_90,movie_41,Documentary,Laptop,Australia,2025-06-20 10:42:07,112
user_20,movie_84,Action,Mobile,USA,2025-06-08 08:02:07,137
user_56,movie_43,Thriller,Laptop,Australia,2025-06-27 19:44:07,65
user_28,movie_100,Comedy,Tablet,UK,2025-05-12 17:01:07,130
user_105,movie_66,Thriller,TV,UK,2025-06-29 02:33:07,94
user_7,movie_30,Drama,Mobile,India,2025-06-03 07:50:07,30
user_87,movie_78,Thriller,Tablet,USA,2025-05-16 21:19:07,64
user_106,movie_8,Comedy,TV,Australia,2025-06-28 02:32:07,109
user_45,movie_76,Drama,Laptop,Canada,2025-06-27 04:37:07,146
user_15,movie_83,Action,TV,UK,2025-06-14 11:18:07,4
user_138,movie_27,Drama,Tablet,Canada,2025-06-15 23:13:07,89
user_50,movie_46,Drama,Laptop,UK,2025-05-24 01:26:07,54
user_161,movie_41,Drama,Tablet,India,2025-06-10 16:25:07,115
user_141,movie_48,Thriller,Laptop,Germany,2025-05-20 00:56:07,93
user_194,movie_66,Romance,TV,UK,2025-05-26 06:11:07,164
user_16,movie_97,Romance,Mobile,USA,2025-06-17 07:28:07,164
user_110,movie_32,Documentary,Laptop,Germany,2025-06-16 09:32:07,4
user_186,movie_86,Comedy,TV,Australia,2025-06-13 01:36:07,171
user_107,movie_9,Drama,Mobile,India,2025-06-03 03:43:07,45
user_119,movie_21,Action,Tablet,UK,2025-06-01 13:53:07,72
user_104,movie_34,Thriller,Tablet,Canada,2025-05-13 17:25:07,119
user_189,movie_33,Thriller,TV,UK,2025-05-18 04:09:07,132
user_191,movie_62,Action,Mobile,UK,2025-06-25 21:41:07,44
user_155,movie_22,Action,Mobile,Germany,2025-06-13 19:14:07,52
user_4,movie_26,Action,Laptop,UK,2025-05-13 08:42:07,39
